parcelid	land use	zoning	assessed total	appraised total
04830400510	single family units  	B. Two Family Residential	$27,550.00	$145,000.00
01700001150	Commercial  	I. Central Business District	$120,000.00	$375,000.00
03590000700	multi-family residential  	D. Multiple Family Residential	$67,310.00	$354,300.00
03720001100	four family unit  	D. Multiple Family Residential	$18,220.00	$95,900.00
04080000700	vacant residential lot  	D. Multiple Family Residential	$3,720.00	$19,600.00
00480000900	Commercial  	K. Unrestricted	$61,800.00	$193,100.00
00410001800	Commercial  	L. Jefferson Memorial District	$0.00	$0.00
05240001000	Commercial  	I. Central Business District	$16,900.00	$52,800.00
04630300950	Commercial  		$7,500.00	$23,400.00
04750001610	single family units  	A. Single Family Residential	$33,420.00	$175,900.00
03830002000	multi-building residential  	D. Multiple Family Residential	$45,790.00	$241,000.00
06220000500	two family unit  	D. Multiple Family Residential	$3,360.00	$17,700.00
04480002300	Commercial  	J. Industrial	$123,600.00	$386,300.00
06710000200	single family units  	H. Area Commercial	$5,590.00	$29,400.00
06070000300	Commercial  	K. Unrestricted	$9,600.00	$30,000.00
04050000350	two family unit  	D. Multiple Family Residential	$20,030.00	$105,400.00
00200000200	Commercial  	K. Unrestricted	$13,600.00	$42,500.00
03910000130	multi-building residential  	D. Multiple Family Residential	$51,360.00	$270,300.00
04660301850	single family units  	D. Multiple Family Residential	$55,140.00	$290,200.00
04040000700	four family unit  	D. Multiple Family Residential	$31,540.00	$166,000.00
06630000800	Commercial  	G. Local Commercial and Office	$146,800.00	$458,800.00
04830401400	single family units  	B. Two Family Residential	$32,490.00	$171,000.00
04820902300	vacant residential lot  	C. Multiple Family Residential	$1,920.00	$10,100.00
04610000850	Commercial  	I. Central Business District	$190,500.00	$595,300.00
05210000100				
02700000100	Commercial  	J. Industrial	$639,200.00	$1,997,500.00
05550000110	Commercial  	J. Industrial	$188,200.00	$588,100.00
03230000600	Commercial  	J. Industrial	$5,600.00	$17,500.00
04830302600	vacant residential lot  	D. Multiple Family Residential	$3,590.00	$18,900.00
03000000330	Commercial  	K. Unrestricted	$28,300.00	$88,400.00
04210000100	Commercial  	J. Industrial, K. Unrestricted	$2,112,000.00	$6,600,000.00
06230000150	single family units  	F. Neighborhood Commercial	$15,580.00	$82,000.00
01440000900	Commercial  	I. Central Business District	$52,000.00	$162,500.00
04170000950	Commercial  		$217,100.00	$678,400.00
06820002300				
01780000400	Commercial  	I. Central Business District	$22,100.00	$69,100.00
06170001300	Commercial  	G. Local Commercial and Office	$1,300.00	$4,100.00
03890000200	Commercial  	D. Multiple Family Residential	$696,000.00	$2,175,000.00
03350300250	Commercial  	K. Unrestricted	$16,300.00	$50,900.00
04820300500	vacant residential lot  	C. Multiple Family Residential	$4,280.00	$22,500.00
04640300250	Commercial  	J. Industrial	$156,200.00	$488,100.00
06400001620				
02890000200	Commercial  	K. Unrestricted	$32,000.00	$100,000.00
04850001500	single family units  	B. Two Family Residential	$73,490.00	$386,800.00
01510000800	Commercial  	I. Central Business District	$4,400.00	$13,800.00
02130000100	Commercial  	K. Unrestricted	$0.00	$0.00
01810000700	Commercial  	I. Central Business District	$695,300.00	$2,172,800.00
07800003900	vacant residential lot  	D. Multiple Family Residential	$3,040.00	$16,000.00
05110000600	Commercial  	I. Central Business District	$0.00	$0.00
04360000110	Commercial  	I. Central Business District	$0.00	$0.00
03380001700	vacant residential lot  	D. Multiple Family Residential	$190.00	$1,000.00
03130000100	Commercial  	K. Unrestricted	$20,800.00	$65,000.00
03400000600	Commercial  	J. Industrial	$1,400.00	$4,400.00
03850000460	multi-building residential  	D. Multiple Family Residential	$60,740.00	$319,700.00
03900000900	vacant residential lot  	D. Multiple Family Residential	$3,990.00	$21,000.00
06120000200	Commercial  	J. Industrial	$84,900.00	$265,300.00
06390001400	vacant residential lot  	D. Multiple Family Residential	$210.00	$1,100.00
06330000620	single family units  	F. Neighborhood Commercial	$14,330.00	$75,400.00
07120000200	Commercial  	K. Unrestricted	$212,100.00	$662,800.00
04800000400	multi-family residential  	D. Multiple Family Residential	$470,610.00	$2,476,900.00
00430000200	Commercial  	L. Jefferson Memorial District	$9,200.00	$28,800.00
03820000300	multi-family residential  	D. Multiple Family Residential	$46,360.00	$244,000.00
04180000610				
03600001100	vacant residential lot  	D. Multiple Family Residential	$110.00	$600.00
01490000750	Commercial  	I. Central Business District	$12,600.00	$39,400.00
02160001000	Commercial  	I. Central Business District	$0.00	$0.00
03860001650	vacant residential lot  	D. Multiple Family Residential	$190.00	$1,000.00
03450001700	vacant residential lot  	J. Industrial	$110.00	$600.00
03950001800	single family units  	G. Local Commercial and Office	$36,840.00	$193,900.00
04820381120	 	F. Neighborhood Commercial		
07180000750	Commercial  	J. Industrial	$625,600.00	$1,955,000.00
02050501000	Commercial  	I. Central Business District	$1,660,800.00	$5,190,000.00
05620004200	single family units  	D. Multiple Family Residential	$6,570.00	$34,600.00
00180000200	Commercial  	L. Jefferson Memorial District	$74,000.00	$231,300.00
06840001350	two family unit  	D. Multiple Family Residential	$27,280.00	$143,600.00
03720002400	two family unit  	D. Multiple Family Residential	$20,690.00	$108,900.00
04830300210	vacant residential lot  	C. Multiple Family Residential	$170.00	$900.00
03840001400	multi-family residential  	G. Local Commercial and Office	$59,700.00	$314,200.00
06650300400	Commercial  	K. Unrestricted	$500.00	$1,600.00
00770000800	Commercial  	L. Jefferson Memorial District	$13,500.00	$42,200.00
06800000600	multi-building residential  	F. Neighborhood Commercial	$59,130.00	$311,200.00
05910000800	Commercial  	J. Industrial	$5,600.00	$17,500.00
01820000100				
07800000600	single family units  	D. Multiple Family Residential	$22,700.00	$119,500.00
03860000260	two family unit  	D. Multiple Family Residential	$40,812.00	$214,800.00
01770000800	Commercial  	I. Central Business District	$25,900.00	$80,900.00
02800000150	multi-family residential  	I. Central Business District	$691,600.00	$3,640,000.00
03410000110	Commercial  	D. Multiple Family Residential	$7,400.00	$23,100.00
00670000310	Commercial  	L. Jefferson Memorial District	$73,600.00	$230,000.00
07110000400	Commercial  	G. Local Commercial and Office	$9,600.00	$30,000.00
00400000400	Commercial  		$600.00	$1,900.00
04190000100	Commercial  	K. Unrestricted	$3,500.00	$10,900.00
03480000100	Commercial  		$14,000.00	$43,800.00
01610001750	Commercial  	I. Central Business District	$80,400.00	$251,300.00
05620002900	single family units  	D. Multiple Family Residential	$5,130.00	$27,000.00
06200002000	Commercial  	G. Local Commercial and Office	$100.00	$300.00
02460001100	Commercial  	K. Unrestricted	$900.00	$2,800.00
03730002050	Commercial  	D. Multiple Family Residential	$53,500.00	$167,200.00
04650303900	single family units  	D. Multiple Family Residential	$26,030.00	$137,000.00
00190000650	Commercial  	K. Unrestricted	$3,600.00	$11,300.00
00730300650	Commercial  		$10,400.00	$32,500.00
06430002000	vacant residential lot  	D. Multiple Family Residential	$250.00	$1,300.00
04290000600	Commercial  	K. Unrestricted	$21,400.00	$66,900.00
00710305000	Commercial  	K. Unrestricted	$279,300.00	$872,800.00
03720001420	two family unit  	D. Multiple Family Residential	$29,930.00	$157,500.00
06610400400	Commercial  	K. Unrestricted	$6,800.00	$21,300.00
04630400450	single family units  	D. Multiple Family Residential	$25,210.00	$132,700.00
07800002150	single family units  	D. Multiple Family Residential	$13,150.00	$69,200.00
05290000600	Commercial  	I. Central Business District	$6,900.00	$21,600.00
03250001100	Commercial  	J. Industrial	$7,500.00	$23,400.00
04670302300	single family units  	D. Multiple Family Residential	$35,870.00	$188,800.00
07040000500	Commercial  	J. Industrial	$115,900.00	$362,200.00
06730200300	Commercial  		$17,900.00	$55,900.00
04840006200	single family units  	B. Two Family Residential	$34,680.00	$182,500.00
01700000300	Commercial  	I. Central Business District	$13,100.00	$40,900.00
03940000400	four family unit  	D. Multiple Family Residential	$33,780.00	$177,800.00
05960000300	vacant residential lot  	C. Multiple Family Residential	$480.00	$2,500.00
06040000500	Commercial  		$800.00	$2,500.00
02620003400	single family units  	D. Multiple Family Residential	$11,480.00	$60,400.00
01550000500	Commercial  	I. Central Business District	$40,200.00	$125,600.00
06660081910	 	D. Multiple Family Residential		
06570000200	Commercial  	J. Industrial	$31,500.00	$98,400.00
00140000800	Commercial  	L. Jefferson Memorial District	$10,400.00	$32,500.00
03560000100	Commercial  		$0.00	$0.00
04830301900	vacant residential lot  	C. Multiple Family Residential	$3,270.00	$17,200.00
05540000600	vacant residential lot  	D. Multiple Family Residential	$700.00	$3,700.00
03730000700	vacant residential lot  	G. Local Commercial and Office	$3,670.00	$19,300.00
04090001100	two family unit  	D. Multiple Family Residential	$49,170.00	$258,800.00
06810002500				
03910001500	single family units  	D. Multiple Family Residential	$25,380.00	$133,600.00
07790000500	Commercial  	G. Local Commercial and Office	$8,500.00	$26,600.00
06240001200	vacant residential lot  	F. Neighborhood Commercial	$340.00	$1,800.00
04750001550	single family units  	A. Single Family Residential	$28,580.00	$150,400.00
06790000500	single family units  	D. Multiple Family Residential	$49,840.00	$262,300.00
07810002500	single family units  	D. Multiple Family Residential	$14,860.00	$78,200.00
06080000500	Commercial  	K. Unrestricted	$2,000.00	$6,300.00
05760000590	Commercial  	J. Industrial	$62,000.00	$193,800.00
06700001400	two family unit  	D. Multiple Family Residential	$34,690.00	$182,600.00
04650303300	single family units  	D. Multiple Family Residential	$36,370.00	$191,400.00
04650400100	multi-family residential  	D. Multiple Family Residential	$534,130.00	$2,811,200.00
05620002300	single family units  	D. Multiple Family Residential	$6,250.00	$32,900.00
06060001500	Commercial  	K. Unrestricted	$26,600.00	$83,100.00
02740000600	Commercial  	I. Central Business District	$50,700.00	$158,400.00
05250000600	Commercial  	I. Central Business District	$128,400.00	$401,300.00
02270000100	Commercial  	K. Unrestricted	$339,200.00	$1,060,000.00
00250000150	Commercial  	L. Jefferson Memorial District	$3,400.00	$10,600.00
06340000800	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
00670000910	Commercial  	L. Jefferson Memorial District	$165,900.00	$518,400.00
05020000110	Commercial  	I. Central Business District	$3,749,800.00	$11,718,100.00
03270000100	Commercial  	J. Industrial	$11,300.00	$35,300.00
07780001040	four family unit  	D. Multiple Family Residential	$19,760.00	$104,000.00
01240000500	Commercial  	I. Central Business District	$18,600.00	$58,100.00
00520000400	Commercial  		$8,800.00	$27,500.00
04640401220	single family units  	D. Multiple Family Residential	$25,440.00	$133,900.00
01770000200	Commercial  	I. Central Business District	$84,900.00	$265,300.00
03750000250	Commercial  	J. Industrial	$126,000.00	$393,800.00
01520000400	Commercial  	J. Industrial	$5,800.00	$18,100.00
04500000240	Commercial  	K. Unrestricted	$10,900.00	$34,100.00
03380002200	vacant residential lot  	J. Industrial	$130.00	$700.00
04970000130				
00770000200	Commercial  		$11,400.00	$35,600.00
05210081000	 	I. Central Business District		
05220483020	 	I. Central Business District		
00180000800	Commercial  	L. Jefferson Memorial District	$9,400.00	$29,400.00
04850002000	single family units  	B. Two Family Residential	$60,340.00	$317,600.00
05680000100	Commercial  	J. Industrial	$201,900.00	$630,900.00
03640001600	single family units  	D. Multiple Family Residential	$1,160.00	$6,100.00
06820001600	multi-family residential  	D. Multiple Family Residential	$247,380.00	$1,302,000.00
03390000100	vacant residential lot  	D. Multiple Family Residential	$530.00	$2,800.00
06240001800	vacant residential lot  	D. Multiple Family Residential	$110.00	$600.00
05860000210	Commercial  	C. Multiple Family Residential	$47,500.00	$148,400.00
07600000400	Commercial  	K. Unrestricted	$10,900.00	$34,100.00
06160000500	single family units  	D. Multiple Family Residential	$2,010.00	$10,600.00
04830301300	vacant residential lot  	C. Multiple Family Residential	$8,550.00	$45,000.00
01620000300	Commercial  		$70,200.00	$219,400.00
05470000250	Commercial  	J. Industrial	$189,600.00	$592,500.00
00140000200	Commercial  	L. Jefferson Memorial District	$104,400.00	$326,300.00
04860000210	Commercial  	J. Industrial	$3,900.00	$12,200.00
01600000210				
00470000500	Commercial  	K. Unrestricted	$513,200.00	$1,603,800.00
04480001600	Commercial  	J. Industrial	$21,600.00	$67,500.00
04850000750	single family units  	B. Two Family Residential	$42,790.00	$225,200.00
02170000600	Commercial  	I. Central Business District	$26,700.00	$83,400.00
04610000110	Commercial  	I. Central Business District	$1,382,400.00	$4,320,000.00
05460000600	Commercial  	D. Multiple Family Residential	$100.00	$300.00
05960000900	Commercial  	J. Industrial	$1,200.00	$3,800.00
01700000900	Commercial  	I. Central Business District	$69,200.00	$216,300.00
06210000900	four family unit  	D. Multiple Family Residential	$3,100.00	$16,300.00
04670302900	vacant residential lot  	D. Multiple Family Residential	$5,640.00	$29,700.00
06400001300	vacant residential lot  	D. Multiple Family Residential	$130.00	$700.00
02140300350	Commercial  	K. Unrestricted	$44,400.00	$138,800.00
07380000200	Commercial  	K. Unrestricted	$0.00	$0.00
07690000410	Commercial  	K. Unrestricted	$27,300.00	$85,300.00
06360001200	Commercial  	D. Multiple Family Residential	$39,600.00	$123,800.00
06670001410				
06000000910	Commercial  	J. Industrial	$12,300.00	$38,400.00
03990600500	single family units  	D. Multiple Family Residential	$19,590.00	$103,100.00
02420000600	Commercial  	K. Unrestricted	$1,300.00	$4,100.00
03340000700	Commercial  	K. Unrestricted	$800.00	$2,500.00
07110000650	Commercial  	G. Local Commercial and Office	$150,200.00	$469,400.00
