parcelid	land use	zoning	assessed total	appraised total
05630001000	single family units  	D. Multiple Family Residential	$28,790.00	$151,500.00
05980000900	Commercial  	J. Industrial	$13,600.00	$42,500.00
06110000510	Commercial  	J. Industrial	$7,100.00	$22,200.00
05810000200	Commercial  	I. Central Business District	$436,200.00	$1,363,100.00
06360000200	vacant residential lot  	D. Multiple Family Residential	$80.00	$400.00
06810001000	single family units  	D. Multiple Family Residential	$23,980.00	$126,200.00
06340001050	vacant residential lot  	D. Multiple Family Residential	$210.00	$1,100.00
04470300100	Commercial  	K. Unrestricted	$65,600.00	$205,000.00
07810001000	multi-building residential  	D. Multiple Family Residential	$58,540.00	$308,100.00
06150000300	Commercial  	J. Industrial	$34,700.00	$108,400.00
06460000400	Commercial  	J. Industrial	$700.00	$2,200.00
06630000200	Commercial  	D. Multiple Family Residential	$2,700.00	$8,400.00
04660301250	single family units  	D. Multiple Family Residential	$39,670.00	$208,800.00
03850000200	single family units  	D. Multiple Family Residential	$63,290.00	$333,100.00
03620000100	Commercial  	D. Multiple Family Residential	$0.00	$0.00
04860000150	Commercial  	J. Industrial	$1,700.00	$5,300.00
06840000100				
05160000700	Commercial  	I. Central Business District	$33,000.00	$103,100.00
04650301710	three family unit  	D. Multiple Family Residential	$32,640.00	$171,800.00
06710000800	Commercial  	H. Area Commercial	$39,000.00	$121,900.00
05330000100	Commercial  	I. Central Business District	$870,900.00	$2,721,600.00
03160000110	Commercial  	K. Unrestricted	$140,600.00	$439,400.00
05600000600	Commercial  	D. Multiple Family Residential	$5,800.00	$18,100.00
06430001500	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
05190081000	 	I. Central Business District		
02060600700	Commercial  	I. Central Business District	$184,800.00	$577,500.00
06350001400	Commercial  	F. Neighborhood Commercial	$2,700.00	$8,400.00
06660001300	Commercial  	D. Multiple Family Residential	$252,100.00	$787,800.00
00410001200	Commercial  	L. Jefferson Memorial District	$55,300.00	$172,800.00
01090000400	Commercial  		$120,700.00	$377,200.00
03900002830	single family units  	D. Multiple Family Residential	$21,380.00	$112,500.00
00990000250	Commercial  	L. Jefferson Memorial District	$1,543,800.00	$4,824,400.00
04660303500	single family units  	D. Multiple Family Residential	$18,160.00	$95,600.00
06200001500	vacant residential lot  	G. Local Commercial and Office	$170.00	$900.00
03950001200	single family units  	D. Multiple Family Residential	$36,520.00	$192,200.00
05970001500	Commercial  	G. Local Commercial and Office	$1,300.00	$4,100.00
03460002400	Commercial  	J. Industrial	$3,000.00	$9,400.00
04030000600	vacant residential lot  	D. Multiple Family Residential	$3,400.00	$17,900.00
03820000900	three family unit  	D. Multiple Family Residential	$25,690.00	$135,200.00
04500000100	Commercial  	K. Unrestricted	$0.00	$0.00
05280001000	multi-family residential  	I. Central Business District	$18,240.00	$96,000.00
05030000600	Commercial  	I. Central Business District	$31,600.00	$98,800.00
03080300100	Commercial  	K. Unrestricted	$0.00	$0.00
03900000300	single family units  	D. Multiple Family Residential	$26,300.00	$138,400.00
00510000200	Commercial  	L. Jefferson Memorial District	$3,500.00	$10,900.00
05020000250	Commercial  	I. Central Business District	$5,700.00	$17,800.00
00740000400	Commercial  	L. Jefferson Memorial District	$20,600.00	$64,400.00
04510000550	Commercial  	K. Unrestricted	$5,200.00	$16,300.00
07800003300	Commercial  	D. Multiple Family Residential	$116,400.00	$363,800.00
01290001300	Commercial  	I. Central Business District	$60,200.00	$188,100.00
00270000300	Commercial  		$0.00	$0.00
01510000200	vacant residential lot  	J. Industrial	$100.00	$500.00
06000000200	Commercial  	J. Industrial	$600.00	$1,900.00
03470002050	Commercial  	J. Industrial	$10,900.00	$34,100.00
06570001050	Commercial  	J. Industrial	$17,000.00	$53,100.00
06630001910	vacant residential lot  	D. Multiple Family Residential	$40.00	$200.00
